Feature,Date de début,Date de livraison,Description détaillée,Priorité,Responsable,Statut,Notes techniques,Type,Projet
"Auth sur agilotext uniquement - Cloudflare reverse-proxy","2025-10-03","","Authentification sur agilotext uniquement via Cloudflare reverse-proxy. Sécurité renforcée, authentification centralisée. À finaliser - en cours depuis octobre 2025.",🔥🔥🔥,Nicolas,En cours,"Auth: Cloudflare reverse-proxy. Sécurité: renforcée. Centralisation: authentification unique. Test: auth via Cloudflare.",Sécurité,Agilotext
"Retour Avocat - Spécial feature: option abonnement avocat","2025-10-15","2025-10-15","Case à cocher mise en forme avocat (mail, courriel etc…) + facturer + prise en compte audio trop rapide + score de confiance. FUSIONNER avec tâches URGENT #5 (ralentir audio) + #6 (scoring AssemblyAI). À finaliser - en cours.",🔥🔥🔥,Nicolas,En cours,"Feature avocat: case à cocher. Mise en forme: mail, courriel. Facturation: option payante. Audio: ralentir si rapide. Scoring: confiance mots. Test: feature complète avocat.",Feature,Agilotext
"Page Agilotext - Tarifs etc… nouvelle section","2025-10-14","","Créer nouvelle section tarifs sur site Agilotext. Mise à jour design, contenu, comparaison offres. À finaliser.",🔥🔥🔥,Florian,À faire,"Page: nouvelle section tarifs. Design: moderne, clair. Contenu: offres, comparaison. Test: page tarifs complète.",Marketing,Agilotext
"Features Michaël - Octobre 2025","2025-10-22","","Librairie questions IA (perso + entreprise), Templates multi-livrables (CR, mail, plan action), App enregistrement légère (PWA desktop), Onboarding progressif (gamification), Ajouter heure dans compte rendu (FUSIONNER avec tâche URGENT #2 - date).",🔥🔥🔥,Florian,À faire,"Features: librairie questions, templates, app PWA, onboarding gamification, heure CR. Test: features complètes Michaël.",Feature,Agilotext
"Agilotext Pulse™ - voir en 3 secondes ce qui compte","2025-10-22","","Micro-graphiques intelligents + nudges IA personnalisés selon persona et use case. Compact, contextuel, actionnable. Intégration UI actuelle (rail + barre outils + onglets).",🔥🔥🔥,Florian,À faire,"Pulse: micro-graphiques + nudges IA. Personnalisation: selon persona + use case. Intégration: UI actuelle. Test: Pulse complet.",Feature,Agilotext
"Super Assistant IA - Emotion + infos","2025-10-11","","Assistant IA avec détection émotions + informations contextuelles. Analyse émotionnelle transcript, insights supplémentaires. À finaliser - en cours.",🔥🔥🔥,Nicolas,En cours,"Assistant: IA avec émotions. Détection: émotions dans transcript. Insights: informations contextuelles. Test: assistant complet émotions.",Feature,Agilotext
"Architecture recommandée Agilotext - Transcript","2025-10-20","","Documenter architecture recommandée pour transcript. Best practices, patterns, structure. Documentation technique. À finaliser - en cours.",🔥🔥🔥,Nicolas,En cours,"Architecture: documenter recommandations. Best practices: patterns, structure. Documentation: technique complète. Test: architecture documentée.",Documentation,Agilotext
"Spécification Agilotext v1 — Transcript uniquement","2025-10-21","","Créer spécification complète Agilotext v1 pour transcript uniquement. Documentation technique, API, formats. À finaliser - en cours.",🔥🔥🔥,Nicolas,En cours,"Spécification: Agilotext v1 transcript. Documentation: technique, API, formats. Test: spécification complète.",Documentation,Agilotext
"Nouveau site - Design (HDS a mettre en avant)","2025-10-29","","Refaire design site Agilotext avec HDS (Headless Design System) mis en avant. Design moderne, cohérent, scalable. À finaliser.",🔥🔥🔥,Florian,À faire,"Design: nouveau site avec HDS. Modernité: design actuel. Scalabilité: système design. Test: nouveau design complet.",Design,Agilotext
"Pro - Traduction et lien de diffusion","","","Feature Pro: traduction transcript + lien de diffusion sécurisé. Permettre partage transcript traduit. À finaliser - en cours.",🔥🔥,Florian,En cours,"Pro: traduction + lien diffusion. Traduction: transcript différentes langues. Lien: sécurisé pour partage. Test: traduction + partage.",Feature,Agilotext
"Différenciation des intervenants par couleur","","","Permettre de différencier visuellement les intervenants par couleur dans l'éditeur. Chaque speaker a une couleur assignée. Interface: sélection couleurs par speaker.",🔥🔥🔥,Florian,À faire,"Couleurs: assigner par speaker. Interface: sélection couleurs. Éditeur: affichage couleurs. Test: différenciation visuelle speakers.",Feature,Agilotext
"Amélioration de la précision de transcription","","","Améliorer précision globale transcription. Optimiser modèles, traitement audio, post-processing. À finaliser - en cours depuis longtemps.",🔥🔥🔥,Nicolas,En cours,"Précision: améliorer transcription. Modèles: optimiser. Audio: meilleur traitement. Post-processing: améliorer. Test: précision améliorée.",Feature,Agilotext
"Mise en place de notifications pour les mises à jour","","","Système notifications pour mises à jour features, maintenance, etc. Interface: centre notifications. Email: notifications importantes.",🔥,Florian,À faire,"Notifications: système complet. Interface: centre notifications. Email: notifications importantes. Test: notifications fonctionnelles.",Feature,Agilotext
"🔥🔥🔥 Feature: Bouton Anonymiser compte-rendu dans éditeur","2025-01-XX","2025-02-XX","Bouton simple 'Anonymiser mon compte-rendu' dans l'onglet compte-rendu de l'éditeur. Le bouton doit apparaître uniquement quand l'onglet compte-rendu est ouvert. Fonctionnalité: anonymiser le compte-rendu en remplaçant les noms et entités sensibles par des placeholders ([NOM], [ENTITÉ], etc.). Respecter la documentation existante sur l'anonymisation. Interface: bouton visible et accessible dans la barre d'outils de l'onglet compte-rendu. UX: simple et clair, avec confirmation avant anonymisation si nécessaire.",🔥🔥🔥,Florian,À faire,"Frontend: ajouter bouton dans onglet compte-rendu (onglet #tab-summary). Backend: API pour anonymiser compte-rendu (détection noms/entités + remplacement). Documentation: respecter notes existantes sur anonymisation (voir tâches 'Rajouter Option Anonymiser' et 'Anonymisation automatique des documents PDF'). Interface: bouton visible uniquement sur onglet compte-rendu. Test: anonymisation correcte des noms et entités dans CR.",Feature,Agilotext
"🔥🔥🔥 Feature: Import rapide mots-clés WordBoost (copier-coller)","2025-01-XX","2025-02-XX","Améliorer l'import de mots-clés WordBoost dans la page 'Mon compte'. Permettre de copier-coller une ligne entière avec mots séparés par virgule (ex: 'mot1, mot2, mot3, mot4'). Parser automatiquement la ligne pour extraire chaque mot et l'ajouter au WordBoost. Gain de temps: au lieu de remplir un par un à la main, l'utilisateur peut copier-coller une liste complète. Interface: champ texte dans page Mon compte avec placeholder 'Collez vos mots séparés par des virgules'. Validation: parser la ligne, nettoyer les espaces, ajouter chaque mot au WordBoost.",🔥🔥🔥,Florian,À faire,"Frontend: ajouter champ texte dans page Mon compte (WordBoost section). Parser: split par virgule, trim espaces, filtrer vides. Backend: API pour ajouter plusieurs mots en une fois au WordBoost. Format: 'mot1, mot2, mot3' → ['mot1', 'mot2', 'mot3']. Validation: vérifier format, éviter doublons. Test: copier-coller ligne avec 10+ mots séparés par virgule.",Feature,Agilotext



